#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
139,Off The Deep End,Priscilla Block,2022-08-05,82,75,66,-6,85,3:17,5,59,169,3935,Country
140,I'm on a Dirt Road,Jameson Rodgers,2022-10-28,142,75,51,-5,57,3:25,3,58,106,1858,Country
141,Til Dawn Do Us Part,Adam Doleac,2022-09-30,90,72,54,-5,46,2:59,41,57,868,8799,Country
142,My Left Hand,Meghan Patrick,2022-05-20,154,60,54,-4,38,3:07,52,52,439,2452,Country
143,Give You My All,Jon Langston,2022-09-30,143,55,64,-6,55,2:51,29,56,440,5257,Country
144,Hope It's Hot Out,Kyle Clark,2022-05-27,126,83,63,-6,71,2:47,2,63,441,819,Country
145,Love You a Little Bit,Tanner Adell,2022-06-27,138,87,61,-4,77,3:31,4,58,442,7817,Country
146,Oklahoma Smokeshow,Zach Bryan,2022-07-15,123,57,54,-6,23,3:32,10,76,289,7252,Country
147,We Bought a House,Kat & Alex,2022-07-22,156,59,39,-6,42,3:05,3,53,170,9655,Country
148,Way Down Yonder,Chase Rice,2022-10-14,144,82,48,-4,63,3:38,17,58,107,6909,Country
149,First Taste of Gone,Josh Ross,2022-02-11,106,37,65,-7,41,2:53,83,60,443,7515,Country
150,Left You For Me,Brooke Eden,2022-06-03,106,76,60,-6,36,3:51,2,56,444,4997,Country
151,Got Married,Johnny Dailey,2022-08-26,150,55,59,-7,40,2:59,55,52,445,3891,Country
152,Stars Like Confetti,Dustin Lynch,2022-02-12,110,87,62,-3,96,3:14,1,59,38,4705,Country
153,Try Jesus,Elle King,2022-10-21,106,92,54,-3,53,3:07,1,55,605,6352,Country
154,Good and Gone,Mitchell Tenpenny,2022-08-26,122,86,64,-5,49,3:18,1,58,262,7675,Country
155,Momentum,Patrick Murphy,2022-05-06,146,80,55,-4,60,3:22,17,50,446,536,Country
156,History Repeats,Josh Gracin,,,,,,,,,,,,Country
157,Watermelon Moonshine,Lainey Wilson,2022-08-12,140,41,74,-7,65,3:29,47,57,606,4529,Country
158,Money Spent,Koe Wetzel,2022-09-16,87,77,55,-6,18,2:37,0,64,448,2440,Country
159,We Had It Good,Chase Matthew,2022-02-11,120,81,58,-7,34,3:32,27,61,449,887,Country
160,getting into,Ashley Cooke,2022-08-12,84,77,46,-6,43,2:50,7,62,290,3266,Country
161,Before You,David J,2022-07-29,73,42,62,-7,59,2:52,69,64,450,6079,Country
162,Note To Self,Randy Houser,2022-03-11,85,62,62,-6,19,3:15,11,65,74,9119,Country
163,Where It Ends,Bailey Zimmerman,2022-08-19,170,84,43,-5,65,2:59,26,75,607,2986,Country
164,Orange And White,Conner Smith,2022-08-26,140,82,53,-3,55,3:30,20,60,608,6682,Country
165,Bridesmaids,Kylie Morgan,2022-09-16,94,87,62,-2,89,2:50,25,59,872,7678,Country
166,Wild Palomino,Zac Brown Band,2022-07-15,120,39,62,-8,19,3:19,73,61,229,502,Country
167,Your Heart Or Mine,Jon Pardi,2022-09-02,86,71,64,-4,72,2:41,5,64,39,9722,Country
168,Girl Wonder,Taylor Edwards,2022-09-30,88,81,55,-4,59,3:02,39,48,171,3791,Country
169,Good For You,BRELAND,2022-09-09,115,30,71,-7,20,3:03,68,50,609,3524,Country
170,Me On You,Muscadine Bloodline,2022-07-08,98,80,72,-5,95,2:47,22,70,451,4239,Country
171,Hate My Heart,Carrie Underwood,2022-06-10,150,92,52,-4,32,3:04,1,58,6,7169,Country
172,Street Called Main,Keith Urban,2022-10-28,117,64,64,-6,65,3:50,1,62,102,2907,Country
173,Waking Up Dreaming,Shania Twain,2022-09-23,92,74,57,-4,54,3:19,3,64,13,2822,Country
174,Wastin' Whiskey,James Barker Band,2022-03-25,76,82,54,-3,70,3:10,5,57,466,9232,Country
175,Get Down Like That,Gary LeVox,2022-08-19,178,97,41,-3,68,3:07,5,49,467,8519,Country
176,The Night (Part 2),Morgan Wade,2022-11-11,80,54,67,-6,45,3:21,17,57,172,2693,Country
177,Good Riddance,Levi Hummon,2022-06-29,120,82,67,-5,90,2:22,1,60,468,3001,Country
178,Oklahoma Breakdown,Toby Keith,2021-10-15,104,88,65,-5,82,3:32,1,52,1,5561,Country
179,Pretty Please,Sacha,2022-02-04,156,62,46,-6,25,3:32,61,49,469,2094,Country
180,Shakin' In Them Boots,Jade Eagleson,2022-08-05,117,93,59,-3,84,2:49,1,57,472,1911,Country
181,What I Get for Loving You,Seaforth,2022-08-05,141,43,47,-7,61,3:05,60,52,473,8334,Country
182,"YOU'RE DRUNK, GO HOME",Kelsea Ballerini,2022-09-23,158,93,48,-4,63,2:55,7,60,141,4476,Country
183,Girl In Mine,Parmalee,2022-08-12,202,68,46,-4,89,2:35,17,62,108,2485,Country
184,Y'all Life,Walker Hayes,2022-07-15,164,76,61,-7,66,3:12,1,63,109,2151,Country
185,Brave Girl,Callista Clark,2022-09-16,80,59,63,-5,39,3:22,48,51,474,8521,Country
186,Alabama Nights,Tiera Kennedy,2022-09-23,85,77,56,-7,89,3:11,21,51,176,6627,Country
187,Prayin' In A Deer Stand,Luke Bryan,2022-11-04,158,84,44,-4,57,3:25,14,61,162,6193,Country
188,The Wolves,Madeline Edwards,2022-11-04,79,66,51,-4,38,2:55,11,51,475,7899,Country
189,Heaven By Then,Brantley Gilbert,2022-11-10,156,84,46,-5,56,3:03,24,59,110,5831,Country
190,Suwannee,Pillbox Patti,2022-10-14,128,55,64,-5,40,3:26,3,48,476,1314,Country
191,Amen To That,Dylan Scott,2022-06-24,108,86,57,-5,55,2:53,5,58,60,4141,Country
192,The Last Time,Tenille Townes,2022-09-02,78,57,53,-6,32,3:31,7,55,477,2943,Country
193,Imma,Drew Baldridge,2022-09-16,81,84,54,-5,82,2:55,0,53,177,5460,Country
194,Thinkin' We're In Love,Tyler Rich,2022-07-08,88,74,51,-6,20,3:48,5,57,478,6059,Country
