#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
110,Carmina Burana: I. O Fortuna,Carl Orff,2005-01-01,123,9,34,-20,46,2:48,93,46,84,8544,Classical
111,"Variations on a Rococo Theme, Op. 33, TH 57: Var: VI. Andante",Pyotr Ilyich Tchaikovsky,2013-09-23,89,3,12,-31,4,2:37,96,56,400,7597,Classical
112,Jazz Suite No. 2: 4. Waltz I,Dmitri Shostakovich,1992-12-01,104,20,23,-18,19,3:24,93,43,250,6608,Classical
113,Adagio for Strings and Organ in G Minor,Remo Giazotto,1994-01-01,97,7,13,-22,3,11:50,55,41,313,3781,Classical
114,"Serse, HWV 40: Ombra mai fù",George Frideric Handel,2010-07-26,86,18,13,-16,6,2:57,55,41,124,5630,Classical
115,"Trois chansons, M.69: 2. Trois beaux oiseaux du Paradis",Maurice Ravel,1994-01-01,129,1,20,-37,4,3:21,97,41,229,2925,Classical
116,"Trumpet Concerto in D Major, TWV 51:D7: I. Adagio",Georg Philipp Telemann,1995-01-01,74,13,18,-17,8,2:00,95,41,35,6040,Classical
117,Nimrod (Lux Aeterna),Edward Elgar,2015-01-01,175,9,10,-21,4,3:53,99,40,275,9856,Classical
118,Solomon HWV 67 / Act 3: The Arrival Of The Queen Of Sheba,George Frideric Handel,1995-01-01,117,35,63,-16,79,3:11,88,46,228,9874,Classical
119,"Symphony No. 25 in G Minor, K. 183: I. Allegro con brio",Wolfgang Amadeus Mozart,2000-01-01,80,24,43,-14,36,7:40,99,59,248,8912,Classical
120,"Nonet in E-Flat Major, Op. 38: III. Scherzo. Vivace",Louise Farrenc,2010-10-26,79,5,39,-25,31,5:08,98,46,155,5470,Classical
121,String Quartet: I. Modere,Germaine Tailleferre,2012-09-04,77,11,26,-18,14,2:27,96,41,156,6230,Classical
122,"Symphonie fantastique, Op. 14: Marche au supplice (Allegro non troppo)",Hector Berlioz,2016-08-26,148,21,35,-18,33,7:12,95,44,157,8638,Classical
