#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
97,Dancing In The Rain,Yung Gravy,2022-10-28,156,63,75,-7,74,2:06,6,66,786,5331,Pop
98,girlfriend,hemlocke springs,2022-11-02,146,76,76,-4,96,2:13,22,75,329,1763,Pop
99,Before You,Benson Boone,2022-10-28,203,37,27,-7,32,3:08,15,76,90,1567,Pop
100,The Astronaut,JIN,2022-10-28,125,76,54,-5,22,4:42,0,89,330,5224,Pop
101,BILLIE EILISH.,Armani White,2022-05-19,100,48,91,-7,69,1:39,13,59,1205,8034,Pop
102,Super Freaky Girl,Nicki Minaj,2022-08-12,133,88,95,-3,90,2:51,5,62,381,8490,Pop
103,if he wanted to he would,Johnny Orlando,2022-11-04,88,71,61,-7,48,2:52,5,56,154,6857,Pop
104,ugly,Dylan Conrique,2022-11-10,137,85,68,-5,84,3:01,4,55,61,468,Pop
105,Different,Joshua Bassett,2022-10-27,59,27,39,-10,25,3:14,84,64,62,6641,Pop
106,SPIT IN MY FACE!,ThxSoMch,2022-11-01,166,57,70,-10,57,2:42,9,83,331,1038,Pop
107,Nxde,(G)I-DLE,2022-10-17,136,91,73,-2,65,2:58,4,85,91,601,Pop
108,just wanna rock (Lil Uzi Vert) - Sped Up Version,sped up nightcore,2022-10-07,162,55,54,-14,15,1:40,1,74,332,2745,Pop
109,Heather,Conan Gray,2020-03-20,102,43,36,-7,27,3:18,58,86,7,9641,Pop
110,dear god,Nessa Barrett,2022-10-14,98,37,53,-12,35,2:12,82,68,295,9215,Pop
111,"i ain't rich, girl",Zach Hood,2022-11-04,172,80,51,-5,64,2:08,0,51,155,9275,Pop
112,End of an Era,Emei,2022-10-26,176,66,68,-4,84,2:14,6,51,92,3109,Pop
113,HEARTBEAT,Isabel LaRosa,2022-08-26,121,73,54,-7,34,2:05,10,70,1374,1375,Pop
114,How Could You,Jessie Murph,2022-10-14,147,17,57,-11,28,3:08,83,74,516,5123,Pop
115,Night Changes,One Direction,2014-11-17,120,52,67,-8,37,3:47,86,87,156,112,Pop
116,October Passed Me By,girl in red,2022-10-14,156,37,45,-13,20,2:46,76,77,157,4508,Pop
117,Those Eyes - Sped Up,New West,2022-07-20,158,42,50,-7,27,2:48,67,74,158,3240,Pop
118,i'm sorry,Joshua Bassett,2022-10-20,145,11,50,-16,37,3:45,92,62,517,2502,Pop
119,the perfect pair,beabadoobee,2022-07-15,146,66,63,-7,60,2:58,43,76,333,3686,Pop
120,100 degrees,kenzie,2022-10-21,140,62,62,-9,33,2:39,6,55,334,6766,Pop
121,we fell in love in october,girl in red,2018-11-21,130,37,57,-13,24,3:04,11,84,1217,3973,Pop
122,madhouse,Nessa Barrett,2022-09-09,95,68,68,-6,44,2:06,13,64,504,5849,Pop
123,TV,Billie Eilish,2022-07-21,140,24,41,-15,12,4:41,83,85,15,930,Pop
124,SHE SAID HE SAID SHE SAID,Joshua Bassett,2022-10-13,105,68,67,-8,59,2:37,23,65,1017,8695,Pop
125,girl’s girl - Spotify Singles,emlyn,2022-10-19,93,62,73,-7,39,3:17,4,56,159,8945,Pop
126,Close,Nick Jonas,2016-06-10,124,62,65,-5,40,3:54,25,69,335,5444,Pop
127,Shinunoga E-Wa,Fujii Kaze,2020-05-20,158,76,60,-6,52,3:06,17,87,336,7185,Pop
128,"Sex, Drugs, Etc.",Beach Weather,2016-11-04,144,84,57,-5,47,3:17,1,89,337,5485,Pop
129,The Loneliest Time (feat. Rufus Wainwright),Carly Rae Jepsen,2022-10-07,123,57,69,-6,49,4:35,12,70,160,1585,Pop
130,Not Another Rockstar,Maisie Peters,2022-10-07,91,82,66,-2,82,2:29,21,73,93,940,Pop
131,tired of california,Nessa Barrett,2022-10-07,92,73,71,-6,64,3:11,23,68,758,2580,Pop
132,brutal,Olivia Rodrigo,2021-05-21,124,53,67,-6,28,2:24,3,79,16,8023,Pop
133,Sick of U (with Oliver Tree),BoyWithUke,2022-09-30,93,81,68,-3,60,2:49,28,79,338,3158,Pop
134,uh oh,Tate McRae,2022-09-30,174,60,63,-7,37,2:50,26,79,5,5418,Pop
135,The One That Got Away,Katy Perry,2012-03-12,134,79,69,-4,86,3:47,0,76,63,5150,Pop
136,Another Love,Tom Odell,2013-06-24,123,54,45,-9,13,4:04,70,92,161,9336,Pop
137,Teenage Dirtbag,Wheatus,2000-09-29,95,84,62,-4,57,4:02,36,71,339,7989,Pop
138,Enough,charlieonnafriday,2022-08-05,140,54,75,-8,24,3:05,22,78,340,637,Pop
139,Can We Pretend That We’re Good?,Daniel Seavey,2022-09-30,174,52,54,-6,47,2:43,3,65,341,7435,Pop
140,Hotel,Montell Fish,2022-09-16,180,43,23,-9,19,3:17,75,81,342,5542,Pop
141,1985,Bo Burnham,2022-06-02,156,72,65,-7,89,2:27,4,65,343,4200,Pop
142,Sweater Weather,The Neighbourhood,2013-04-19,124,81,61,-3,40,4:00,5,92,344,9740,Pop
