#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
109,Faded (Bye Bye Baby),The Stone Foxes,2022-11-18,160,89,33,-5,61,3:43,1,28,188,4283,Rock
110,We Could Start A War,Somebody's Child,2022-11-16,183,87,26,-5,26,3:37,1,35,189,1526,Rock
111,Nauseous,Annie DiRusso,2022-11-18,112,77,52,-5,41,3:19,37,37,190,5572,Rock
112,Que Sera,Foxblood,2022-11-18,133,92,51,-3,27,3:49,0,31,191,1516,Rock
113,M4U,The Rocket Summer,2022-11-18,100,63,59,-8,21,3:25,0,30,192,5700,Rock
114,Black Tank Top,George Barnett,2022-11-18,131,73,66,-4,70,3:22,1,27,67,1457,Rock
115,Bye Bye Big Bear,The Dirty Nil,2022-11-18,96,72,41,-5,46,2:57,1,36,193,6063,Rock
116,Moto,STONE,2022-11-18,135,91,44,-6,49,2:46,0,30,68,6818,Rock
117,Retina (Begging's Better),False Heads,2022-11-18,130,76,61,-8,49,3:18,0,24,69,5971,Rock
118,Apeshit,The Sound Of Animals Fighting,2022-11-16,150,81,42,-6,37,5:18,0,39,194,5846,Rock
119,kill you,swim school,2022-11-16,134,52,45,-7,36,3:08,1,30,195,3650,Rock
120,The Last Time,ARXX,2022-11-18,102,56,65,-7,52,3:08,3,25,196,4154,Rock
121,Piece Of You,Storm Orchestra,2022-11-18,78,97,44,-6,47,4:15,0,25,197,4454,Rock
122,Jillian,Halo Kitsch,2022-11-18,124,40,48,-8,8,2:28,42,23,198,4370,Rock
123,OMG,Neighbourhood Void,2022-11-18,135,59,56,-7,26,2:21,1,22,199,7217,Rock
124,Hospital Tree,Jamie Lenman,2022-11-17,156,67,43,-6,51,3:17,1,25,200,3466,Rock
125,Time To Break Up The Band,KOATS,2022-11-18,125,75,76,-6,89,2:49,67,19,201,8641,Rock
126,Chewing Glass,James and the Cold Gun,2022-11-18,153,97,39,-5,18,3:04,0,25,202,5081,Rock
127,wasted,BESTIES,2022-11-16,168,82,54,-6,63,2:48,0,27,203,9820,Rock
128,3:00 AM,overpass,2022-11-17,146,94,38,-3,37,3:31,1,29,204,6513,Rock
129,Like You Love Me,44Blonde,2022-11-18,123,74,63,-5,67,2:27,2,26,205,6854,Rock
130,So Far Gone,Weird Nightmare,2022-11-16,145,90,40,-7,60,4:22,2,26,206,5072,Rock
131,Jimmy (Lookin’ like Trash),Grace McKagan,2022-11-18,107,85,53,-5,63,2:51,0,21,207,9613,Rock
132,Rags of Love,Tempesst,2022-11-16,107,57,48,-8,24,4:43,17,28,208,2696,Rock
133,Hollow Stone,Ulysses Wells,2022-11-18,78,63,51,-7,36,4:46,30,19,209,3111,Rock
134,saggy genes,"yeah, sure",2022-11-18,111,78,53,-6,43,3:24,0,20,210,8529,Rock
135,Scopaesthesia,Moonball,2022-11-18,79,97,11,-5,17,3:09,0,21,70,9862,Rock
136,Stay with Me,Back On Earth,2022-11-17,135,88,47,-3,38,2:31,0,22,211,8882,Rock
137,Teenage Lines,alltheprettythings,2022-11-16,160,97,46,-4,46,3:45,0,21,212,3469,Rock
