#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
83,Nos Comemos Vivos,Maluma,2022-06-09,82,72,82,-4,66,3:45,17,76,166,2082,Latin
84,X ÚLTIMA VEZ,Daddy Yankee,2022-03-25,90,86,81,-4,57,3:12,8,83,196,2063,Latin
85,MAMIII,Becky G,2022-02-10,94,70,84,-4,90,3:46,9,83,34,3047,Latin
86,Amor De Una Noche,Ryan Castro,2022-08-05,93,71,87,-3,64,3:29,10,66,554,5569,Latin
87,Yo Voy (feat. Daddy Yankee),Zion & Lennox,2004-05-04,95,70,81,-6,55,3:52,4,83,94,1574,Latin
88,Gasolina,Daddy Yankee,2004-07-13,96,80,85,-7,74,3:13,32,81,357,7823,Latin
89,Ella Y Yo - Featuring Don Omar,Aventura,2005-04-26,176,71,73,-8,72,4:28,53,77,47,2125,Latin
90,Sensacion Del Bloque,De La Ghetto,2006-01-01,92,73,71,-7,40,3:02,10,77,136,6338,Latin
91,Danza Kuduro,Don Omar,2010-01-01,89,92,40,-5,88,3:19,8,78,264,8620,Latin
92,Perdóname,La Factoria,2006-12-04,95,82,67,-6,38,4:02,25,76,605,9099,Latin
93,¿Por Que Te Demoras?,Plan B,2010,96,78,89,-6,93,3:11,4,79,555,7898,Latin
94,"Lo Que Pasó, Pasó",Daddy Yankee,2004-07-13,97,74,82,-7,84,3:31,10,79,533,9156,Latin
95,Ven Bailalo - Reggaeton Mix,Angel Y Khriz,2005-07-22,97,92,68,-6,73,4:13,6,76,283,9716,Latin
96,Borro Cassette,Maluma,2015-10-30,176,70,73,-6,79,3:27,13,75,286,9054,Latin
97,Flow Natural,"Tito ""El Bambino""",2006-01-01,101,79,83,-5,83,2:54,12,74,137,9773,Latin
98,Mis Ojos Lloran Por Ti,Big Boy,2006-01-01,172,83,79,-9,33,4:56,1,74,606,6697,Latin
99,Ojitos Chiquitos,Don Omar,2006-01-01,170,84,80,-3,79,3:49,2,77,477,8408,Latin
100,Atrévete-Te-Te,Calle 13,2005,88,88,83,-6,88,3:59,10,74,607,1962,Latin
101,Si No Le Contesto,Plan B,2010,95,75,85,-5,52,3:40,9,77,1113,3739,Latin
102,Pasarela,Ñejo & Dalmata,2007-01-01,95,82,80,-6,53,3:47,10,74,608,4952,Latin
103,Algo Me Gusta De Ti,Wisin & Yandel,2012-01-01,128,79,72,-4,15,4:35,2,74,545,4271,Latin
104,Na De Na,Angel Y Khriz,2008,120,89,88,-6,68,3:23,18,73,1649,5958,Latin
105,Salió El Sol,Don Omar,2006-01-01,110,70,89,-6,97,5:15,11,77,645,1347,Latin
106,Agárrala - Remix,Trebol Clan,2004-06-29,96,74,73,-8,86,2:32,8,71,609,6507,Latin
107,Passion Whine,Farruko,2016-02-22,162,69,76,-4,78,3:33,33,71,503,5991,Latin
108,Llamado de Emergencia,Daddy Yankee,2008-08-12,98,91,70,-4,78,4:00,22,76,660,723,Latin
109,Noche De Sexo,Wisin & Yandel,2005-01-01,94,72,69,-5,52,3:26,11,72,808,9913,Latin
110,Hooka,Don Omar,2010-01-01,170,86,73,-5,82,3:58,4,74,860,6734,Latin
111,Permitame,Tony Dize,2008-01-01,214,67,63,-7,90,3:05,3,71,188,7859,Latin
112,El Telefono,"Héctor ""El Father""",2006-01-01,90,68,81,-7,49,3:56,17,71,189,9615,Latin
113,En La Cama (feat. Daddy Yankee),Nicky Jam,2016-02-24,104,91,86,-5,89,2:37,18,70,265,6530,Latin
114,Pa' Que La Pases Bien,Arcangel,2008-12-08,110,76,90,-6,57,3:34,1,70,138,7507,Latin
115,Mi Cama Huele a Ti (feat. Zion & Lennox),"Tito ""El Bambino""",2015-04-30,95,85,74,-6,68,3:46,8,70,745,1884,Latin
116,Me Pones en Tensión,The Noise,2004,94,77,88,-7,86,3:55,4,70,610,5494,Latin
117,Quizas - Remix,Tony Dize,2007-01-01,90,68,79,-5,88,4:00,42,70,1161,4174,Latin
118,Ella Me Levanto,Daddy Yankee,2007-06-05,100,90,76,-5,76,3:29,7,75,826,416,Latin
119,Rakata,Wisin & Yandel,2005-01-01,96,79,87,-5,72,2:53,3,70,1086,9638,Latin
120,Hasta el Amanecer,Nicky Jam,2017-01-20,94,61,83,-6,59,3:19,28,70,478,7591,Latin
121,More,Zion,2012-08-20,172,78,69,-7,87,4:01,21,69,611,2831,Latin
122,Noche de Travesura,"Héctor ""El Father""",2019-10-25,92,53,83,-12,45,3:28,29,69,1162,5447,Latin
123,La Botella,Mach & Daddy,2005-11-07,118,80,76,-5,92,2:57,22,69,612,3241,Latin
124,Chillax (feat. Ky-Mani Marley),Farruko,2015-10-23,92,65,83,-5,51,3:18,7,68,866,8427,Latin
125,Ay Vamos,J Balvin,2014-09-16,174,71,72,-6,92,3:46,16,68,2,5463,Latin
126,Abusadora,Wisin & Yandel,2009-01-01,115,79,78,-5,19,3:00,4,69,1345,4028,Latin
127,Al Natural (feat. Yandel),Tego Calderón,2004,95,78,92,-5,75,3:24,25,68,556,5959,Latin
128,5 Letras,Alexis y Fido,2007-09-28,94,79,82,-5,65,3:16,27,67,139,4306,Latin
129,El Amante,Nicky Jam,2017-01-20,180,69,68,-6,73,3:40,24,68,646,2747,Latin
130,Down,R.K.M & Ken-Y,2016-11-04,95,77,80,-7,80,3:46,56,67,190,370,Latin
131,Escápate Conmigo - Remix,Wolfine,2012-09-06,94,88,83,-8,74,2:47,19,67,284,4803,Latin
132,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,2016-04-18,91,91,72,-3,87,3:20,9,67,23,8155,Latin
133,Mayor Que Yo 3,Luny Tunes,2015-10-23,92,96,72,-3,54,5:05,10,66,140,6096,Latin
134,Mírala Bien,Wisin & Yandel,2005-01-01,96,86,82,-4,71,2:37,26,67,1595,1524,Latin
135,6:00 AM,J Balvin,2013-09-29,176,75,75,-5,73,4:03,15,67,134,414,Latin
136,Punto y Aparte,Tego Calderón,2009-11-10,95,77,81,-5,72,3:26,26,67,1114,5940,Latin
137,Dile a Tu Amiga,Dalmata,2011-12-13,95,58,79,-12,91,3:34,23,66,622,3937,Latin
138,Igual Que Ayer,R.K.M & Ken-Y,2016-11-04,94,74,79,-7,40,3:53,2,67,1163,2391,Latin
139,Oye Mi Canto,N.O.R.E.,2006-07-18,96,95,68,-3,95,4:01,19,66,623,866,Latin
140,Travesuras,Nicky Jam,2014-01-27,94,79,79,-6,89,3:15,15,65,861,298,Latin
141,Soy una Gargola,Alex Gargolas,2006,94,84,74,-6,64,3:05,8,65,285,7122,Latin
142,Aparentemente,Yaga & Mackie,2007-01-01,94,69,86,-6,85,5:04,7,64,624,8373,Latin
143,Baila Morena - Live,Hector & Tito,2005-01-01,94,54,80,-13,80,2:35,20,64,289,9034,Latin
144,Dominicana,Tego Calderón,2003-07-01,95,91,85,-4,81,4:13,19,63,1551,4632,Latin
145,Me Matas,R.K.M & Ken-Y,2016-11-04,93,74,78,-6,58,3:16,6,65,1878,2153,Latin
146,Te Quiero,Flex,2007-01-01,84,60,54,-10,47,3:19,0,63,625,968,Latin
147,Hay Algo en Ti,Luny Tunes,2003-08-26,96,68,84,-8,24,3:53,1,63,746,2607,Latin
148,Si Tú La Ves (feat. Wisin),Nicky Jam,2017-01-20,178,73,69,-5,79,3:41,20,65,1080,9876,Latin
149,Shorty,Casa De Leones,2007-06-19,95,87,80,-6,88,4:06,10,63,290,1764,Latin
150,Saoco,Wisin,2004,96,86,84,-5,82,3:05,13,63,38,4261,Latin
151,Mala Conducta (feat. Franco El Gorila),Alexis y Fido,2011-03-21,176,84,71,-5,96,4:18,23,63,747,9090,Latin
152,Siente El Boom,"Tito ""El Bambino""",2006-01-01,95,75,80,-6,51,3:09,11,62,1460,5079,Latin
153,Culo,Pitbull,2004-08-03,60,66,86,-5,97,3:39,11,62,69,3474,Latin
154,Quiero Saber,Ivy Queen,2004-01-27,95,91,85,-4,84,2:56,14,62,557,8370,Latin
155,Rica y Apretadita (feat. Anayka),El General,1991,115,85,85,-6,82,4:22,16,61,191,9428,Latin
156,Un Sueño,Alex Gargolas,2006,95,68,79,-6,81,4:05,17,61,1650,9982,Latin
157,Aventura,Luny Tunes,2003-08-26,93,74,86,-7,82,2:51,2,63,1461,6408,Latin
158,Soy Igual Que Tú (feat. Toby Love),Alexis y Fido,2007-09-28,94,66,85,-6,52,3:45,28,62,1462,1443,Latin
159,No Te Veo - Digital Single,Casa De Leones,2007-06-12,116,87,85,-5,97,4:16,6,61,1651,5722,Latin
160,El Carnaval,Baby Rasta & Gringo,2019-09-06,95,59,80,-10,71,3:44,0,61,626,1495,Latin
161,Quitate Tu Pa Ponerme Yo,Eddie Dee,2005,94,77,77,-5,57,4:52,18,60,291,481,Latin
162,"Sol, Playa Y Arena","Tito ""El Bambino""",2007-01-01,94,66,82,-6,73,3:08,25,61,1967,6961,Latin
163,Frikitona,Plan B,2011-07-25,120,87,94,-4,84,3:03,32,60,1552,4425,Latin
164,Mi Fanatica,De La Ghetto,2006-09-25,93,69,88,-8,61,3:49,4,60,748,1747,Latin
165,La Locura Automática - Reggaeton,La Secta,2020-02-21,92,76,80,-5,70,4:05,32,59,627,5,Latin
166,Déjale Caer To' El Peso (feat. Yomo),"Héctor ""El Father""",2019-10-25,96,62,85,-12,75,4:08,12,59,1886,8097,Latin
167,Yo Te Lo Dije,J Balvin,2013-09-29,88,62,75,-6,96,3:41,8,59,238,9463,Latin
168,Te Ves Buena,El General,1991-07-15,92,87,81,-7,85,3:25,31,58,1164,1115,Latin
169,Solos,Tony Dize,2009-11-17,84,71,73,-5,94,3:09,52,58,1887,1525,Latin
170,Chica Ven Pa' Ca,Plan B,2003-04-10,94,74,83,-4,52,3:24,1,59,2014,2233,Latin
171,Cójela Que Va Sin Jockey,Luny Tunes,2003-08-26,95,83,83,-7,60,3:04,13,58,1968,3141,Latin
172,los Disicipulos,Eddie Dee,2005,94,89,63,-4,86,4:30,18,58,1652,5471,Latin
173,"Te He Querido, Te He Llorado",Ivy Queen,2005-10-04,95,85,77,-6,59,4:14,33,58,1115,6893,Latin
174,Bandida,Zion & Lennox,2004-05-04,95,78,81,-6,54,3:12,8,58,558,3527,Latin
175,Chulin Culin Chunfly,Voltio,2014-10-07,92,82,79,-6,62,4:35,17,58,629,2241,Latin
176,Ginza - Remix,J Balvin,2015-12-18,102,88,71,-3,83,6:14,13,58,339,3824,Latin
177,Hasta Que Se Seque el Malecón,Jacob Forever,2016-07-15,100,83,82,-6,66,3:07,42,57,630,8960,Latin
178,"Guasa, Guasa",Tego Calderón,2003-07-01,96,90,84,-3,86,4:00,45,56,2015,6921,Latin
179,Felina,Hector & Tito,2002-01-01,93,92,85,-7,71,3:36,3,56,1653,9511,Latin
180,Me Quiere Besar,Alexis y Fido,2006,95,81,79,-5,85,2:35,14,56,1969,2014,Latin
181,Muévelo,El General,1991,102,72,85,-7,69,4:05,2,55,1888,3426,Latin
182,SI ES AMOR,Danny Ocean,2022-11-10,184,52,54,-9,82,3:33,79,67,70,3661,Latin
183,Ojitos Lindos,Bad Bunny,2022-05-06,80,69,65,-6,27,4:18,8,93,270,7055,Latin
184,DIME QUIÉN????,Rauw Alejandro,2022-11-11,170,77,56,-3,61,2:45,8,69,600,107,Latin
185,No Se Va,Morat,2018-10-25,92,69,73,-5,75,3:37,12,83,48,8999,Latin
186,Ojos Marrones - Con Sebastián Yatra,Lasso,2022-08-24,120,66,79,-4,79,3:19,6,81,1654,809,Latin
187,Amigos (con Maria Becerra),Pablo Alborán,2022-11-10,157,81,72,-3,94,3:54,28,72,39,5773,Latin
188,Felices Perdidos,Piso 21,2022-10-13,84,79,80,-3,45,3:29,13,74,308,2768,Latin
189,Luna,Sofía Reyes,2022-11-10,100,63,79,-5,56,2:29,26,63,95,5367,Latin
190,Segundos Platos,Morat,2022-11-04,90,74,56,-5,66,3:05,5,76,437,1307,Latin
191,Todo De Ti,Rauw Alejandro,2021-05-20,128,72,78,-4,34,3:20,31,81,717,2749,Latin
192,5 Estrellas,Reik,2022-08-25,178,76,66,-4,80,3:11,11,75,10,873,Latin
193,Una Vaina Loca,Fuego,2021-10-21,107,59,81,-3,55,3:46,13,76,292,2473,Latin
194,Devoto,Kim Loaiza,2022-10-20,105,76,82,-4,31,3:33,25,78,631,5309,Latin
195,Entre Nosotros (Remix) [con Nicki Nicole],Tiago PZK,2022-01-05,170,44,70,-6,61,4:20,40,78,192,9861,Latin
196,Fuera del mercado,Danny Ocean,2022-02-17,92,67,45,-6,27,2:40,32,84,504,416,Latin
197,Salir Con Vida,Morat,2022-10-28,92,70,61,-5,63,2:56,26,79,715,4775,Latin
198,A Mi Lado,Reik,2022-10-28,90,53,66,-5,42,3:17,32,71,197,6660,Latin
199,Tiroteo - Remix,Marc Seguí,2021-04-01,110,52,75,-7,60,5:22,28,80,632,110,Latin
200,Loco,Justin Quiles,2021-05-13,128,90,77,-3,85,3:52,22,74,309,6540,Latin
201,Hawái,Maluma,2020-07-29,180,73,79,-3,55,3:20,19,75,431,3067,Latin
202,OJALÁ,Maria Becerra,2022-06-01,92,63,80,-4,36,2:40,13,79,749,7305,Latin
203,Mon Amour - Remix,zzoilo,2021-08-18,116,76,75,-7,36,3:00,12,83,633,7568,Latin
204,Espina De Rosa - Spotify Singles,Andy Rivera,2022-10-25,150,34,53,-6,30,2:05,87,62,634,9183,Latin
205,Volare,Danny Ocean,2022-07-07,92,73,75,-4,16,2:28,25,77,867,1491,Latin
206,Mojando Asientos (feat. Feid),Maluma,2022-03-24,95,77,77,-4,49,4:12,4,75,540,4837,Latin
207,Demasiadas Mujeres,C. Tangana,2021-02-26,126,45,66,-7,36,2:34,13,79,293,9822,Latin
208,Contigo,Sebastian Yatra,2022-07-21,150,34,43,-9,31,3:29,60,70,24,7184,Latin
209,12x3,DEKKO,2021-12-21,94,73,87,-5,61,2:39,0,79,635,3679,Latin
210,BAILÉ CON MI EX,Becky G,2022-05-10,115,78,76,-5,69,2:42,15,71,310,4945,Latin
211,Te Espero,Prince Royce,2022-03-03,127,69,73,-5,83,4:07,35,74,40,5095,Latin
212,MAL DE AMOR,MYA,2022-09-01,136,87,74,-4,62,3:41,36,71,636,1089,Latin
213,Los Tragos,Reik,2021-11-25,94,70,56,-5,68,2:51,12,77,358,1407,Latin
214,La Triple T,TINI,2022-05-05,92,63,80,-3,68,2:48,41,80,1116,8174,Latin
215,Buenos Días,Wisin,2022-01-14,172,81,68,-4,97,3:20,7,69,361,2399,Latin
216,XT4S1S,Danna Paola,2022-08-12,130,68,80,-4,92,3:39,10,81,294,7450,Latin
217,PROVENZA,KAROL G,2022-04-22,111,52,87,-8,53,3:30,66,91,479,8333,Latin
218,"La Ducha Remix (con Becky G, Tini)",ELENA ROSE,2022-10-13,130,76,84,-4,91,4:34,43,66,637,3286,Latin
219,Mini Mini,Punto40,2021-05-26,98,74,86,-5,89,3:18,70,78,638,5870,Latin
220,DEJAU',Rauw Alejandro,2022-11-11,107,81,81,-2,57,3:03,8,72,835,8055,Latin
221,Moscow Mule,Bad Bunny,2022-05-06,100,67,80,-5,29,4:06,29,91,322,8446,Latin
222,COSITAS,Mora,2022-11-03,172,62,63,-5,60,3:16,35,76,788,3388,Latin
223,Yonaguni,Bad Bunny,2021-06-04,180,65,64,-5,44,3:27,28,86,375,2606,Latin
224,Party,Bad Bunny,2022-05-06,97,80,83,-5,47,3:48,2,88,429,5309,Latin
225,A Tu Merced,Bad Bunny,2020-02-29,92,79,86,-5,89,2:56,17,82,483,2652,Latin
226,TU DIABLO,ITHAN NY,2022-11-04,99,68,79,-9,46,4:09,3,72,639,892,Latin
227,Loco Por Perrearte - Remix,De La Ghetto,2022-06-03,94,67,85,-4,39,3:19,1,79,1463,6363,Latin
228,"34 Amor y Mafia REMIX (feat. El Jincho, Camin, Harry Nach & Pedro Calderon)",JC Reyes,2022-10-07,94,83,86,-3,84,6:09,14,74,640,102,Latin
229,CANDY - Remix,ROSALÍA,2022-09-09,180,67,74,-4,56,3:25,73,75,438,3961,Latin
230,La Bailadora,Grupo Firme,2022-11-08,96,73,74,-6,83,3:28,17,67,41,6361,Latin
