#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
99,Real Bitch (feat. Gloss Up),Lakeyah,2022-08-26,102,72,93,-5,72,2:05,8,55,385,3791,Hip Hop
100,2 Million Up (feat. Rob49),Peezy,2022-11-18,192,39,66,-10,27,2:46,1,47,1087,9422,Hip Hop
101,Hell Yeah,SoFaygo,2022-10-17,142,71,70,-5,29,2:48,0,70,191,7660,Hip Hop
102,Vanish Mode,SleazyWorld Go,2022-11-11,93,61,73,-6,40,1:57,30,61,31,1326,Hip Hop
103,Celine Frames,BIG30,2022-09-30,148,66,73,-7,30,2:36,6,57,192,5364,Hip Hop
104,Speak Up,Is0kenny,2022-10-04,155,41,79,-11,28,1:45,23,69,429,706,Hip Hop
105,40s N 9s,DD Osama,2022-08-01,160,65,80,-10,34,2:26,28,66,193,9372,Hip Hop
106,KAPITOL DENIM,LUCKI,2022-09-23,124,38,80,-13,69,1:56,24,69,195,6231,Hip Hop
107,Spend It,Babyface Ray,2022-11-18,125,59,87,-6,43,3:21,45,46,122,9990,Hip Hop
108,DNA,NoCap,2022-11-16,172,63,57,-6,41,4:03,5,44,75,6610,Hip Hop
109,2Tone (feat. YoungBoy Never Broke Again),Cootie,2022-09-28,144,80,78,-5,70,2:13,26,57,196,2566,Hip Hop
110,No Passes,Bizzy Banks,2022-11-16,143,79,79,-5,49,2:41,21,44,430,6147,Hip Hop
111,1 On 3 (feat. Rvssian),Fivio Foreign,2022-11-11,140,85,78,-5,95,1:36,25,65,49,7675,Hip Hop
112,Summo,Finesse2tymes,2022-11-11,138,72,74,-4,67,3:23,9,51,782,8562,Hip Hop
113,Chapters,Central Cee,2022-10-14,155,67,66,-8,67,1:55,11,73,386,2890,Hip Hop
114,Mr. CBFW (feat. G Herbo),BabyDrill,2022-11-10,153,56,81,-6,86,2:43,5,46,197,1662,Hip Hop
115,Face no Book,Heembeezy,2022-07-09,94,54,79,-12,46,2:25,62,64,431,5025,Hip Hop
116,FreakyT,TiaCorine,2022-09-09,143,54,81,-7,14,3:14,24,56,432,8846,Hip Hop
117,LABELS CALLIN',Mike Dimes,2021-05-08,160,35,89,-14,65,2:38,2,70,50,1366,Hip Hop
118,Went Deaf,NoCap,2022-10-22,146,58,78,-6,35,3:03,28,55,503,5100,Hip Hop
119,Letter 2 Notti,DD Osama,2022-11-02,146,55,83,-10,59,1:52,19,62,1088,2503,Hip Hop
120,Stay Awake,SoFaygo,2022-11-11,146,55,64,-9,33,3:37,4,63,1089,6005,Hip Hop
121,SHOTS! (WITH DENZEL CURRY),JELEEL!,2022-11-18,148,78,67,-4,83,2:16,14,53,198,2531,Hip Hop
122,I Want You (with Future),Real Boston Richey,2022-08-26,75,56,76,-7,22,3:23,23,60,123,5592,Hip Hop
123,Chokehold,CEO Trayle,2022-10-28,137,55,71,-7,33,3:23,0,46,199,6431,Hip Hop
124,Do It Again (feat. Pooh Shiesty),GMO Stax,2022-10-28,120,48,80,-6,21,2:44,3,52,433,4605,Hip Hop
125,Slicin,Foogiano,2022-11-17,149,54,86,-4,42,2:55,1,34,200,7971,Hip Hop
126,Shoot,Ken Carson,2022-10-31,139,66,68,-7,20,2:47,0,59,434,7668,Hip Hop
127,werrkk,Blxckie,2022-10-28,140,68,85,-8,43,1:43,4,48,435,8895,Hip Hop
128,Shut Up (feat. Icewear Vezzo),PGF Nuk,2022-11-09,108,82,82,-5,38,2:43,1,43,76,3370,Hip Hop
129,Humble,Finesse2tymes,2022-10-20,139,81,64,-4,23,2:48,29,55,1287,146,Hip Hop
130,Creepers,SleazyWorld Go,2022-10-07,74,57,73,-6,31,1:51,50,64,364,8734,Hip Hop
131,By Myself (feat. Destroy Lonely),Highway,2022-11-11,160,76,66,-4,40,3:25,39,45,436,6650,Hip Hop
132,Understanding,Big Scarr,2022-10-17,126,48,85,-9,20,2:35,9,48,201,3374,Hip Hop
133,How You Like Me Now?,Cootie,2022-11-16,136,73,78,-7,80,3:21,20,27,1090,9901,Hip Hop
134,Meet The Walkers 2 (With Nardo Wick),Lil Double 0,2022-10-28,134,43,86,-9,16,3:06,3,58,124,4516,Hip Hop
135,Product of the Trenches,Rob49,2022-11-11,168,87,65,-4,59,1:47,2,43,202,4398,Hip Hop
136,One In The Chamber,NorthSideBenji,2022-10-07,140,58,78,-7,29,2:51,6,65,203,1844,Hip Hop
137,Real Freak,Sally Sossa,2022-11-18,150,51,83,-9,45,2:47,1,27,437,1819,Hip Hop
138,COUNTING SHEEP (feat. 21 Savage),Melvoni,2022-10-21,120,76,77,-5,71,3:18,41,51,440,9861,Hip Hop
139,Gleecin (feat. Icewear Vezzo),Dee Watkins,2022-10-28,98,73,92,-6,52,2:57,0,49,204,6788,Hip Hop
140,Keep it Playa,Enchanting,2022-11-10,140,59,82,-5,62,2:46,7,48,752,6000,Hip Hop
141,Jeeezy WYA,BlueBucksClan,2022-09-09,100,70,76,-8,82,2:06,25,46,125,4390,Hip Hop
142,Broken Vows,Morray,2022-11-18,93,67,78,-7,44,3:27,15,42,205,907,Hip Hop
143,RuleBook,Rundown Choppaboy,2022-10-21,81,24,74,-15,66,2:59,24,54,441,8698,Hip Hop
144,GET DANGEROUS (feat. Lil Bean),22nd Jim,2022-10-07,98,62,84,-10,79,2:10,14,41,442,9841,Hip Hop
145,Soul Keeper,Foogiano,2022-10-27,149,54,86,-4,42,2:55,1,53,1091,8638,Hip Hop
146,Eastside (with Lil Tjay) - Remix,North Ave Jax,2022-11-04,146,45,82,-8,27,2:37,1,44,443,783,Hip Hop
147,Ton1ght (Bonus),Exøtix,2022-11-03,140,39,73,-9,39,2:31,0,54,444,8690,Hip Hop
148,WIN 4 LOSIN (with Rylo Rodriguez),Lil Poppa,2022-11-04,83,63,53,-8,53,2:53,6,50,206,41,Hip Hop
149,MR MEMPHIS MASSACRE,Duke Deuce,2022-10-28,125,78,84,-4,50,2:52,1,49,445,6995,Hip Hop
150,Robbin Season,21 Lil Harold,2022-11-02,170,87,81,-4,93,1:56,2,44,446,358,Hip Hop
151,Bend,iayze,2022-11-04,127,41,82,-9,38,1:38,29,48,207,1534,Hip Hop
152,Tradeline,Ray Vaughn,2022-10-28,145,66,65,-6,38,3:58,0,55,126,1011,Hip Hop
153,Myspace,BabyTron,2022-10-28,180,71,70,-6,63,2:46,2,60,447,4767,Hip Hop
154,Dark Days,GMK,2022-11-11,80,58,65,-8,25,3:23,14,45,448,8707,Hip Hop
155,pg baby - Remix,redveil,2022-10-25,76,85,32,-6,85,4:10,10,62,213,8112,Hip Hop
156,PENDULUM,Lancey Foux,2022-10-28,131,57,64,-8,35,2:56,42,48,449,3587,Hip Hop
157,Geeked Up (feat. Gucci Mane),Kay Flock,2022-10-07,142,72,79,-3,65,2:55,22,60,77,521,Hip Hop
158,KICK DOOR,SwaVay,2022-10-21,77,53,82,-7,57,3:22,18,47,127,1344,Hip Hop
159,Outside Lookin In,Aaron May,2022-10-27,135,33,77,-11,68,2:08,50,52,214,639,Hip Hop
160,OK,FN DaDealer,2022-10-28,158,66,42,-7,22,2:59,9,40,450,7027,Hip Hop
161,Fight That Switch (Walk) [with EST Gee],Lil Double 0,2022-09-30,135,49,86,-12,43,3:46,2,55,783,18,Hip Hop
162,O to the G,Sha EK,2022-11-04,155,87,78,-3,58,1:27,28,48,128,4406,Hip Hop
163,247,Mike Dimes,2022-10-18,129,57,82,-5,24,2:44,13,57,387,1113,Hip Hop
164,Who Else Would It Be,KayCyy,2022-11-11,142,70,66,-8,16,1:32,0,42,215,7907,Hip Hop
165,Neighborhood Hero (feat. No Cap),Stunna Gambino,2022-10-21,91,51,53,-10,34,2:20,41,47,216,2791,Hip Hop
166,Whole Lotta Money,Big Yavo,2022-11-04,130,58,79,-7,74,2:16,3,47,451,4360,Hip Hop
167,Way Too Much Love,NorthSideBenji,2022-11-11,92,34,67,-12,25,2:37,28,53,1092,1542,Hip Hop
168,Out Tha Blue (feat. G Herbo),Raw Youngin,2022-10-28,147,85,73,-5,65,1:44,0,37,452,56,Hip Hop
169,Chief,BiC Fizzle,2022-10-17,91,64,91,-5,60,2:50,13,41,453,6603,Hip Hop
170,Reel Em In,PGF Nuk,2022-10-20,161,46,67,-12,21,2:24,1,49,504,6632,Hip Hop
171,Nice Guy,Babyface Ray,2022-10-21,177,72,71,-3,57,2:53,14,48,784,1749,Hip Hop
172,Robbie Anderson (with Rob49),FCG Heem,2022-10-07,164,41,62,-12,24,3:07,10,38,217,1566,Hip Hop
173,MHM,Lil Darius,2022-11-03,86,68,75,-6,39,2:36,5,41,454,7194,Hip Hop
174,My Body (feat. B.O.G. Vonnie),Fredo Bang,2022-10-21,90,65,66,-5,74,2:55,18,48,129,4089,Hip Hop
175,STAY LOYAL,Lil Poppa,2022-10-19,150,53,67,-8,35,3:17,19,45,1093,5470,Hip Hop
176,Safehouse (Remix),BigXthaPlug,2022-09-21,112,45,96,-11,38,3:02,2,55,218,9146,Hip Hop
177,Fearless,Fredo Bang,2022-10-10,80,61,56,-7,71,3:12,26,41,785,2904,Hip Hop
178,For Certain (feat. BIG30),BigWalkDog,2022-09-23,148,66,75,-6,22,2:51,1,49,219,3250,Hip Hop
179,Anotha 1,Big Scarr,2022-09-27,130,55,79,-8,35,2:25,15,57,1094,1754,Hip Hop
180,Max Out (feat. Shawny Binladen),22Gz,2022-09-22,144,67,88,-5,29,2:12,3,54,78,9824,Hip Hop
181,Maneuver (feat. Flo Milli),Lakeyah,2022-09-23,125,86,84,-4,57,3:22,7,61,753,7362,Hip Hop
182,Richer,Icewear Vezzo,2022-09-28,134,49,84,-9,4,3:08,2,50,79,3750,Hip Hop
183,All Hustle (feat. Jeezy),Baby Money,2022-09-23,93,68,66,-8,28,3:48,8,46,455,68,Hip Hop
184,SIN (feat. Rylo Rodriguez),BigWalkDog,2022-09-26,156,73,68,-6,28,2:29,0,48,1106,6208,Hip Hop
185,No Role Modelz,J. Cole,2014-12-09,100,52,69,-8,49,4:53,32,87,80,7378,Hip Hop
186,Revenge,XXXTENTACION,2017-08-25,140,25,75,-16,18,2:00,78,87,81,2312,Hip Hop
187,Freestyle,Lil Baby,2017-12-01,120,52,88,-5,26,2:42,22,83,257,6437,Hip Hop
188,rockstar (feat. 21 Savage),Post Malone,2018-04-27,160,52,59,-6,13,3:38,12,84,19,8357,Hip Hop
189,Dreams and Nightmares,Meek Mill,2012-10-26,80,77,63,-2,44,3:51,47,74,130,8814,Hip Hop
190,God's Plan,Drake,2018-06-29,77,45,75,-9,36,3:19,3,83,190,3343,Hip Hop
191,goosebumps,Travis Scott,2016-09-16,130,73,84,-3,43,4:04,8,83,32,6532,Hip Hop
192,HONEST,Baby Keem,2019-07-19,79,54,68,-9,37,2:53,40,82,388,7693,Hip Hop
193,XO Tour Llif3,Lil Uzi Vert,2017-08-25,155,75,73,-6,40,3:03,0,82,389,9461,Hip Hop
194,Money Trees,Kendrick Lamar,2012,72,53,72,-7,34,6:27,7,65,2,428,Hip Hop
195,Yes Indeed,Lil Baby,2018-05-18,120,35,96,-9,56,2:22,4,82,343,5895,Hip Hop
196,Dior,Pop Smoke,2019-07-26,142,81,55,-6,65,3:36,21,82,20,1123,Hip Hop
197,SICKO MODE,Travis Scott,2018-08-03,155,73,83,-4,45,5:13,1,81,366,1257,Hip Hop
