#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
821,Blues for Ben,Stanton Moore,1998-06-01,101,63,67,-9,96,5:00,18,37,902,7781,Jazz
822,"Miles Runs the Voodoo Down (feat. Wayne Shorter, Bennie Maupin, John McLaughlin, Chick Corea, Joe Zawinul, Dave Holland & Harvey Brooks)",Miles Davis,1970-04,119,52,53,-10,61,14:01,26,37,17,8239,Jazz
823,London 1969,Otis McDonald,2022-10-28,92,76,64,-9,95,2:26,0,37,32,1977,Jazz
824,Refractions,Mocky,2021-11-26,174,57,65,-11,96,3:37,47,37,271,2044,Jazz
825,Long Live the King - Instrumental,A.O.,2020-04-17,100,85,75,-6,87,3:31,6,37,903,6776,Jazz
826,Looking Back,Nautilus,2022-09-21,122,85,73,-10,64,3:41,15,36,904,8069,Jazz
827,Turnip's Big Move,The Greyboy Allstars,1997-07-10,124,92,67,-7,96,4:23,9,36,1641,5688,Jazz
828,So This Is Love?,George Benson,1976,102,77,62,-10,90,7:04,62,36,905,7106,Jazz
829,Tokisan,New Cool Collective,2021-11-12,123,63,66,-11,75,3:25,10,36,906,5810,Jazz
830,The Sun ),The Du-Rites,2021-07-02,111,70,68,-9,70,2:56,6,36,907,2737,Jazz
831,Pull Your Pants Up,Delvon Lamarr Organ Trio,2022-02-11,104,85,77,-7,85,4:50,29,36,1829,2154,Jazz
832,Tell Me What To Do,"Johnny ""Hammond"" Smith",1975-09-01,106,76,66,-8,85,5:18,19,35,908,8590,Jazz
833,Glide,Mocky,2022-02-25,118,65,71,-12,97,3:13,15,35,1642,741,Jazz
834,Palm Grease,Herbie Hancock,1974-09-06,106,75,59,-10,96,10:37,41,35,1940,2482,Jazz
835,Humpty Dumpty - 2006 Remastered Version,Marc Moulin,2006-06-12,104,53,66,-9,63,2:32,61,35,909,2053,Jazz
836,Broasted or Fried,Willie Bobo,2016-09-09,95,81,68,-9,96,3:56,31,35,33,4645,Jazz
837,Where's the Music,"Medeski, Martin & Wood",2014-01-21,107,71,62,-9,47,3:14,22,35,1042,5967,Jazz
838,Midnight Getaway,Yarni,2022-06-10,108,54,75,-7,52,4:38,48,35,910,3766,Jazz
839,Sweet Power of Your Embrace,James Mason,1977,112,79,60,-9,88,5:26,26,35,911,5310,Jazz
840,Be on the Lookout,Otis McDonald,2021-06-04,91,34,86,-8,89,3:14,1,35,507,272,Jazz
841,Presente Grego,High Pulp,2021-06-11,95,84,47,-7,42,3:14,15,35,272,4137,Jazz
842,Tidal Wave,Ronnie Laws,1975,96,67,36,-13,50,4:12,7,35,129,3796,Jazz
843,Sunray Junonia,Telemakus,2021-02-03,95,51,66,-12,34,5:00,32,35,64,8300,Jazz
844,Spoon (Mike Casey Remix) [No Sax],Mike Casey,2021-06-15,123,54,80,-16,50,1:54,19,34,1330,432,Jazz
845,Comedown,Jazzbois,2021-09-10,76,59,65,-7,66,2:39,12,35,130,460,Jazz
846,Everything Is Changing,Groove Collective,1999-07-20,120,94,71,-6,90,5:49,1,34,912,6022,Jazz
847,One In Seven,Soulive,2001-01-01,121,73,72,-6,60,5:16,1,34,1643,5565,Jazz
848,Andromeda Style Fuunk,Wonky Logic,2021-05-21,105,52,79,-10,45,3:51,4,34,913,5140,Jazz
849,A Message From The Inner City,The Crusaders,1973,172,41,43,-15,57,8:52,54,34,273,2972,Jazz
850,May The Funk Be With You,Ezra Collective,2022-03-01,103,48,78,-12,67,4:27,4,34,1941,7185,Jazz
851,Ay Uh!,The Brothers Nylon,2021-07-09,139,42,48,-10,34,2:04,62,34,274,9748,Jazz
852,Consolation Prizes,Flying Lotus,2022-10-20,134,87,63,-5,96,2:14,1,47,914,7472,Jazz
853,Dr. Disclosure,Glimlip,2022-09-02,98,42,66,-11,45,3:43,46,51,508,7145,Jazz
854,Superhero,Kiefer,2021-04-23,88,51,55,-9,61,2:46,35,47,65,3712,Jazz
855,Sombra Bajo El Limero,Kansado,2022-09-02,108,80,73,-11,78,3:02,36,47,675,2055,Jazz
856,Beacons,Sunda Arc,2022-11-18,88,70,20,-10,11,5:08,1,24,915,2253,Jazz
857,Worldwide,edbl,2022-04-29,92,78,73,-7,53,3:43,8,46,796,3490,Jazz
858,Thoughts,Nico Harris,2022-09-14,100,43,62,-13,26,2:36,38,45,275,46,Jazz
859,Squarepusher Theme,Squarepusher,1996,167,96,57,-6,54,6:21,3,41,916,2772,Jazz
860,Moves,Cody Currie,2021-02-12,121,77,75,-9,63,3:44,6,40,917,5024,Jazz
861,Cloud Bounce,9ICK,2022-09-22,88,66,68,-8,65,2:10,15,40,918,5414,Jazz
862,Bonzai View,Potatohead People,2021-10-08,91,47,59,-16,44,3:33,57,40,919,1789,Jazz
863,On the Fly,daniel hayn,2021-05-06,118,51,75,-15,52,3:18,60,39,131,9995,Jazz
864,Talk About It,Moods,2021-08-20,77,42,69,-11,62,3:19,49,39,1644,4502,Jazz
865,By Your Side,Ryan James Carr,2022-07-01,180,88,53,-3,30,2:50,0,38,920,4881,Jazz
866,Dat It,Blue Lab Beats,2022-02-25,91,62,72,-6,25,4:46,15,38,276,1787,Jazz
867,Truly Another Classic,Glimlip,2022-07-22,88,31,67,-11,17,2:33,81,39,1002,324,Jazz
868,Dirty Mariposa,Parov Stelar,2022-04-29,120,65,69,-10,71,5:24,24,37,921,222,Jazz
869,Ultraviolet,Portico Quartet,2021-11-12,136,72,33,-7,5,5:12,1,37,18,7838,Jazz
870,Half-Bloom,Asta Hiroki,2021-09-10,120,47,61,-14,46,4:28,34,36,922,344,Jazz
871,Inner Peace,Matt Wilde,2022-04-14,90,76,77,-6,60,3:07,44,37,1043,1245,Jazz
872,Watarase - Henrik Schwarz Version,Fumio Itabashi,2021-03-19,176,55,66,-15,67,6:50,4,36,923,2178,Jazz
873,The Whales,Mahealane,2021-06-18,98,48,67,-11,36,2:28,26,36,277,7490,Jazz
874,Blurred Tales,KaspaHauser,2022-06-06,80,27,76,-11,26,2:39,51,35,924,9544,Jazz
875,Altered Time,Knick,2022-02-16,170,48,61,-13,77,2:10,53,35,925,7908,Jazz
876,Pire,Oceanvs Orientalis,2021-06-11,115,57,80,-11,28,7:44,61,35,926,8702,Jazz
877,BUBBA,Silvan Strauss,2022-11-04,170,45,66,-11,46,2:03,12,36,927,86,Jazz
878,88' Jason,Marcus Alan Ward,2022-10-14,84,68,43,-8,38,3:12,0,34,278,6497,Jazz
879,Nest Egg,Glimlip,2022-03-25,78,49,67,-8,32,2:26,59,35,1493,3524,Jazz
880,Rising Part II,JK Group,2022-10-14,123,65,27,-10,12,5:14,16,34,1645,4601,Jazz
881,Can We? Take A Break,Nathan-Paul,2022-01-25,120,62,70,-7,12,2:44,4,34,1646,5614,Jazz
882,Only Human,Keeth,2022-09-21,110,54,85,-10,52,2:55,25,34,928,5763,Jazz
883,Princess Meadow (Morning),Joy Guerrilla,2022-04-22,92,50,72,-8,55,2:11,32,34,929,4342,Jazz
884,Come Out and Play,Umziky,2021-07-29,37,43,42,-12,48,3:07,18,33,279,6664,Jazz
885,Panspermia,Ozoyo,2021-02-26,120,52,62,-13,36,3:08,47,33,280,7071,Jazz
886,Birds of Rocky Point,Glimlip,2022-08-12,85,48,68,-9,76,2:38,20,33,1942,2809,Jazz
887,Friends,Kiefer,2021-04-23,84,51,64,-10,25,4:40,69,33,676,4123,Jazz
888,Black Space Jazz,Kareem Ali,2021-05-15,127,90,73,-8,63,6:28,4,33,930,954,Jazz
889,Alive,Natty Rico,2022-04-29,90,51,65,-6,18,3:13,20,33,931,8879,Jazz
890,Seventh Wonder,Tenderlonious,2022-09-02,103,53,69,-13,37,3:28,74,33,932,7581,Jazz
891,Jim Bell,Retromigration,2022-06-17,85,52,46,-10,20,3:28,63,33,933,9816,Jazz
892,Tukumtak,Kansado,2022-08-05,101,61,70,-9,37,3:03,55,33,1331,8044,Jazz
893,Tin Tin Deo - NerdStar Remix,Dizzy Gillespie,2022-04-01,138,44,67,-7,72,3:23,1,33,34,5554,Jazz
894,Vacuum Lessons,Anatole Muster,2021-01-29,104,62,74,-9,48,3:04,25,32,934,2686,Jazz
895,Dazed,THREESIXTY,2022-08-03,79,45,67,-7,26,3:44,6,32,935,8478,Jazz
896,Jakarta,Sam Wilkes,2022-09-12,102,43,65,-13,41,3:39,95,32,281,920,Jazz
897,Sunday Kitchen,U-zhaan,2022-06-08,124,32,92,-15,44,3:06,75,32,936,7844,Jazz
898,Life Of Leisure,Elusive,2021-09-24,82,61,61,-9,38,2:48,88,32,677,8163,Jazz
899,Yanavy Obaki,delay_ok,2021-03-18,97,51,42,-10,18,6:02,36,32,937,3643,Jazz
900,Northbound,Paul Grant,2021-07-07,90,33,62,-14,50,2:16,96,32,938,8616,Jazz
901,Turkish Delight,Carsten Rubeling,2021-07-19,86,34,71,-11,46,4:01,3,32,939,259,Jazz
902,Lift Off For AJ,Marcus Alan Ward,2022-08-05,165,72,51,-9,22,2:11,0,31,1647,6896,Jazz
903,Golden,BlackLight,2021-05-14,170,78,51,-8,87,7:47,0,31,940,4184,Jazz
904,The Chase,Yellow Seven,2022-06-09,90,26,81,-12,52,2:33,18,31,941,5659,Jazz
905,Kountdown,Pablo Queu,2021-05-28,84,49,62,-13,55,3:45,38,32,942,2938,Jazz
906,Kick Snare Cat,Mahealane,2021-06-11,91,52,69,-9,76,3:48,2,31,1648,8555,Jazz
907,Imani,E-SWERVE,2022-02-01,82,27,46,-14,20,1:58,95,31,284,461,Jazz
908,Coral Jazz,Ozoyo,2020-11-27,136,91,56,-7,68,3:04,68,31,1651,8749,Jazz
909,lamplighting,Wowflower,2022-09-30,129,50,41,-11,19,2:19,28,31,943,2746,Jazz
910,On the Right Track,Erik von Spreckelsen,2022-10-13,118,67,70,-9,41,2:42,58,31,285,7461,Jazz
911,Typhoon,Slowya.roll,2021-08-25,111,59,44,-13,18,3:43,73,31,132,2225,Jazz
912,SAMURAI - 2022 version,Jazztronik,2022-05-18,129,64,72,-9,70,11:57,0,31,286,6908,Jazz
