#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
98,Biosphère,Miss Monique,2022-10-27,124,94,60,-7,6,3:45,6,51,90,5450,Dance/Electronic
99,Yumi,Notre Dame,2022-11-11,122,70,72,-7,34,6:22,0,46,172,5567,Dance/Electronic
100,Drifting Away,Audien,2022-09-09,128,62,54,-4,17,3:19,20,57,362,8788,Dance/Electronic
101,Avalanche,Kx5,2022-11-11,125,74,77,-7,15,4:21,14,60,838,4523,Dance/Electronic
102,Resonate,Lilly Palmer,2022-10-28,133,93,63,-6,41,3:42,3,57,173,9460,Dance/Electronic
103,Missing Channel - Original Mix,Charlotte de Witte,2022-10-14,140,66,71,-9,19,6:33,0,53,1291,6903,Dance/Electronic
104,Is Mine,Deborah de Luca,2022-11-04,135,94,76,-10,60,5:45,1,48,839,7727,Dance/Electronic
105,Mind Control,Chris Avantgarde,2022-11-11,127,84,73,-9,17,5:07,2,45,363,1670,Dance/Electronic
106,Affection,Amelie Lens,2022-11-11,132,84,51,-10,15,7:02,0,49,364,4854,Dance/Electronic
107,Clara (the night is dark),Fred again..,2022-11-02,125,87,59,-8,53,4:38,5,60,540,8621,Dance/Electronic
108,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,Gorillaz,2022-11-18,127,90,72,-7,36,4:34,1,61,174,4569,Dance/Electronic
109,Breathe,Loco & Jam,2022-10-21,128,73,80,-6,38,6:47,0,46,365,4917,Dance/Electronic
110,See In Color,Wax Motif,2022-11-04,127,81,76,-7,48,2:39,14,51,366,7709,Dance/Electronic
111,Key to My Heart,Young Bombs,2022-11-18,125,87,65,-4,85,3:10,4,38,367,8642,Dance/Electronic
112,Coma Cat - Purple Disco Machine Re-Work,Tensnake,2022-09-30,122,98,65,-5,76,3:29,2,60,175,5196,Dance/Electronic
113,Angel Dust,Solardo,2022-10-28,128,91,71,-8,39,4:04,0,55,91,8296,Dance/Electronic
114,Dance with Me,Kaskade,2022-11-04,132,95,59,-6,9,3:40,1,53,176,6879,Dance/Electronic
115,Tra Tra,HUGEL,2022-11-04,124,94,80,-6,18,2:07,0,57,548,2656,Dance/Electronic
116,Hombres y Mujeres,Gordo,2022-11-18,130,81,85,-5,82,2:29,0,59,368,6503,Dance/Electronic
117,Other Side,Azzecca,2022-10-28,125,85,77,-6,14,4:04,0,49,369,2290,Dance/Electronic
118,As Long As We Got House,San Pacho,2022-11-04,126,91,83,-4,61,2:53,1,48,549,4908,Dance/Electronic
119,Viaje,Farruko,2022-10-13,122,80,71,-5,66,5:04,4,73,92,7053,Dance/Electronic
120,Inochi,anamē,2022-11-04,122,55,81,-10,36,5:54,12,40,370,5304,Dance/Electronic
