#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
98,Christmas Calling (Jolly Jones),Norah Jones,2021-10-14,144,54,43,-6,35,3:20,46,48,236,1197,Happy Holidays
99,Santa Baby,Haley Reinhart,2019-10-31,100,37,71,-8,51,2:56,47,45,190,7796,Happy Holidays
100,Diddly Squat,Tasha Layton,2021-10-29,140,66,67,-5,59,3:05,48,45,191,1320,Happy Holidays
101,The Christmas Waltz,Leslie Odom Jr.,2017-10-27,182,44,34,-8,45,3:03,61,44,192,100,Happy Holidays
102,A Nightingale Sang In Berkeley Square (duet with Gloria Estefan),Nat King Cole,2021-10-29,174,42,14,-8,15,4:59,61,44,1011,4240,Happy Holidays
103,The Little Things,Jeremy Lister,2021-11-12,120,42,56,-9,38,3:43,44,43,193,4304,Happy Holidays
104,Shake Hands with Santa Claus - Mono Recording,Louis Prima,1951,135,37,69,-7,86,2:25,88,43,194,1450,Happy Holidays
105,Have Yourself a Merry Little Christmas,Norah Jones,2022-10-07,116,26,46,-8,15,4:16,88,47,470,3035,Happy Holidays
106,Little Jack Frost Get Lost,Seth MacFarlane,2014-09-30,127,38,66,-7,56,2:34,72,43,196,4238,Happy Holidays
107,Christmas Time Is Here,Stacey Kent,2020-11-20,68,19,42,-16,20,3:47,92,43,197,4428,Happy Holidays
108,White Christmas,Charlie Parker,1994-01-01,95,31,68,-11,90,4:57,98,42,198,4217,Happy Holidays
109,Have a Holly Jolly Christmas,"Harry Connick, Jr.",2008-11-03,141,26,56,-13,47,4:04,65,42,199,55,Happy Holidays
110,Winter Wonderland,Chet Baker Quartet,1958-01-01,120,44,70,-11,76,2:28,90,42,200,2677,Happy Holidays
111,That Holiday Feeling,Jane Monheit,2022-11-04,122,31,59,-10,53,3:58,74,43,71,1703,Happy Holidays
112,Winter Wonderland,Wynton Marsalis,1989-10-03,76,24,60,-16,53,2:53,86,42,72,6603,Happy Holidays
113,Snowfall,Don Sebesky,1996-09-30,85,21,19,-15,23,3:13,88,41,201,4702,Happy Holidays
114,We Wish You The Merriest,John Tesh,2011-11-15,81,61,60,-4,81,2:14,56,42,202,8300,Happy Holidays
115,Christmas In New Orleans,Louis Armstrong,2016-01-01,104,39,66,-10,54,2:55,66,41,1110,3892,Happy Holidays
116,Christmas Time Is Here,John Legend,2018-10-26,112,49,61,-8,38,3:21,16,41,7,69,Happy Holidays
117,What Child Is This?,Oscar Peterson,1995-01-01,85,12,42,-23,19,4:47,96,41,1016,7180,Happy Holidays
118,The Christmas Waltz,David Finck,2022-11-11,63,20,49,-19,40,4:05,68,40,203,8969,Happy Holidays
119,Santa Tell Me,Ariana Grande,2014-11-24,192,62,53,-7,59,3:24,5,82,73,8132,Happy Holidays
120,Underneath the Tree,Kelly Clarkson,2013-10-29,160,81,51,-5,69,3:50,0,73,4,1980,Happy Holidays
121,All I Want for Christmas Is You,Mariah Carey,1994-10-28,150,63,34,-7,35,4:01,16,87,8,5983,Happy Holidays
122,Christmas Tree Farm,Taylor Swift,2019-12-06,134,68,60,-5,44,3:48,6,70,74,8681,Happy Holidays
123,My Only Wish (This Year),Britney Spears,2000-11-14,147,84,67,-4,70,4:15,17,72,204,5892,Happy Holidays
124,Last Christmas - Remastered,Wham!,2006-11-11,107,62,76,-8,86,4:27,26,71,205,6171,Happy Holidays
125,You Make It Feel Like Christmas (with Blake Shelton),Gwen Stefani,2020-10-23,93,87,64,-4,91,2:37,2,60,32,4658,Happy Holidays
126,"Merry Christmas, Happy Holidays",*NSYNC,1998-10-30,105,94,64,-4,76,4:15,10,67,206,7302,Happy Holidays
127,Please Come Home For Christmas,Ryland James,2019-11-01,172,35,40,-9,21,3:17,87,60,75,4361,Happy Holidays
128,One More Sleep,Leona Lewis,2013-12-02,113,81,64,-4,75,4:00,46,68,207,7691,Happy Holidays
129,Kid On Christmas (feat. Meghan Trainor),Pentatonix,2022-10-28,78,82,42,-5,32,3:23,2,60,3,998,Happy Holidays
130,You Deserve It All,John Legend,2021-11-11,83,74,52,-7,48,3:19,22,60,237,2755,Happy Holidays
131,What Christmas Means To Me,Hanson,1997-01-01,168,88,53,-6,83,3:43,0,59,208,6384,Happy Holidays
132,Jingle Bell Rock -Spotify Singles Holiday,MisterWives,2021-11-17,120,66,63,-8,60,2:23,17,58,209,8682,Happy Holidays
133,Have Yourself A Merry Little Christmas,Sam Smith,2014-12-05,75,18,44,-9,34,2:51,96,72,33,6644,Happy Holidays
134,Hard Candy Christmas,Ralph,2020-11-06,100,59,64,-6,28,3:29,60,56,210,2182,Happy Holidays
135,Holly Jolly Christmas,Michael Bublé,2011-10-14,151,47,65,-8,70,2:00,87,70,589,5906,Happy Holidays
136,Christmas (Baby Please Come Home),Caylee Hammack,2022-11-04,132,91,30,-2,59,2:43,0,56,76,5071,Happy Holidays
137,Snowman - Sped Up Version,sped up nightcore,2022-07-07,126,42,76,-9,57,2:18,29,62,211,7745,Happy Holidays
138,Like It's Christmas,Jonas Brothers,2019-11-08,146,57,73,-6,61,3:21,2,71,212,7908,Happy Holidays
139,"Santa, Can’t You Hear Me",Kelly Clarkson,2021-10-15,146,90,50,-2,46,4:03,1,67,195,8471,Happy Holidays
140,Christmas Without You,Ava Max,2020-10-15,118,60,65,-5,38,2:49,42,67,213,4863,Happy Holidays
141,Mistletoe,Justin Bieber,2011-01-01,162,56,66,-9,85,3:03,50,78,214,4193,Happy Holidays
142,"White Christmas - Spotify Singles - Christmas, Recorded at Sound Stage Studios Nashville",Meghan Trainor,2018-11-19,67,44,57,-10,51,3:14,43,56,77,221,Happy Holidays
143,Christmas the Whole Year Round,Sabrina Carpenter,2015-01-01,188,90,56,-3,96,2:59,15,56,215,5343,Happy Holidays
144,This Christmas,Tyler Shaw,2022-10-14,95,53,63,-4,54,2:28,28,53,78,6948,Happy Holidays
145,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,2020-12-11,78,94,65,-3,85,3:20,3,58,238,8636,Happy Holidays
146,Merry Christmas,Ed Sheeran,2021-12-03,114,94,59,-2,60,3:29,24,72,216,1382,Happy Holidays
147,Cozy Little Christmas,Katy Perry,2018-11-15,137,61,77,-6,56,3:03,13,67,217,819,Happy Holidays
148,It's the Most Wonderful Time of the Year,Kylie Minogue,2016-11-25,203,76,20,-6,44,2:45,55,51,218,8385,Happy Holidays
149,Merry Christmas Darling - Single Version,Carpenters,2002-10-15,82,34,36,-8,13,3:06,73,54,1111,882,Happy Holidays
150,Christmas in New York,Backstreet Boys,2022-10-14,97,47,25,-8,16,4:33,66,56,79,4243,Happy Holidays
151,Step Into Christmas,Elton John,1974-06-28,140,93,54,-6,80,4:32,9,53,219,3904,Happy Holidays
152,8 Days of Christmas,Destiny's Child,2001-10-30,100,80,69,-2,59,3:29,5,56,220,6757,Happy Holidays
153,Make It To Christmas,Alessia Cara,2019-11-08,77,52,52,-8,31,3:31,13,65,221,4791,Happy Holidays
154,Man With The Bag,Jessie J,2018-10-26,141,68,63,-3,68,2:44,61,63,222,3350,Happy Holidays
155,Not Tonight Santa,Girls Aloud,2005-01-01,137,88,64,-5,94,2:42,0,49,223,5471,Happy Holidays
156,Sleigh Ride,Miley Cyrus,2017-11-29,166,75,58,-8,77,3:05,19,56,80,2586,Happy Holidays
157,Glittery - From The Kacey Musgraves Christmas Show,Kacey Musgraves,2019-11-29,85,31,51,-10,39,2:23,87,58,21,8808,Happy Holidays
158,Officially Christmas,Dan + Shay,2021-11-09,127,68,66,-4,62,2:58,15,59,34,2024,Happy Holidays
159,My Kind Of Present,Meghan Trainor,2021-10-29,180,44,49,-6,78,2:41,37,53,1017,9444,Happy Holidays
160,Mele Kalikimaka (Merry Christmas),Bing Crosby,1945-01-01,202,22,50,-12,62,2:55,65,59,1073,7840,Happy Holidays
161,Jolly Old Saint Nicholas,Caveboy,2020-11-20,136,62,67,-4,87,2:11,1,52,224,5772,Happy Holidays
162,Ring Out The Bells,Sarah Connor,2022-11-04,140,81,67,-4,77,4:00,2,55,225,9028,Happy Holidays
163,Thank You Note,salem ilese,2021-12-10,158,71,64,-8,55,2:36,12,53,81,2615,Happy Holidays
164,Make You Mine This Season,Tegan and Sara,2020-11-06,132,68,60,-7,28,3:07,9,51,226,6325,Happy Holidays
165,Christmas Isn't Canceled (Just You),Kelly Clarkson,2021-10-15,140,79,58,-5,57,3:52,4,56,390,7690,Happy Holidays
166,Santa's Coming for Us,Sia,2018-11-01,93,81,55,-6,72,3:25,2,68,82,7535,Happy Holidays
167,Kissin' In The Cold,JP Saxe,2020-12-08,65,34,53,-8,34,3:44,78,61,227,1394,Happy Holidays
168,Jingle Bells (feat. The Puppini Sisters),Michael Bublé,2011-10-14,123,59,70,-6,85,2:40,63,57,880,7048,Happy Holidays
169,I Saw Mommy Kissing Santa Claus - Spotify Holiday Single,Sasha Alex Sloan,2020-11-18,130,9,65,-15,25,2:02,76,52,228,1786,Happy Holidays
170,Drunk On Christmas,Darren Criss,2021-10-08,112,51,67,-7,46,3:24,70,51,229,4274,Happy Holidays
171,Hallelujah,Pentatonix,2017-12-06,90,38,36,-7,37,4:29,47,66,167,4872,Happy Holidays
172,HERE (For Christmas),Lukas Graham,2019-11-08,115,63,74,-5,31,4:01,30,54,230,4123,Happy Holidays
173,One I've Been Missing,Little Mix,2020-12-11,98,65,54,-4,37,3:13,10,58,231,6431,Happy Holidays
174,Santa Baby,Ariana Grande,2013-01-01,96,78,75,-6,78,2:51,5,68,1018,3063,Happy Holidays
175,Home To You (This Christmas),Sigrid,2021-11-05,139,32,62,-6,29,3:46,68,53,232,8070,Happy Holidays
176,Let It Snow (with Babyface),Tori Kelly,2020-10-28,137,66,41,-6,53,1:58,23,53,35,3111,Happy Holidays
177,White Christmas,OneRepublic,2018-11-09,108,45,42,-8,15,2:07,15,52,233,7759,Happy Holidays
178,The Christmas Song (Chestnuts Roasting On An Open Fire),John Legend,2019-11-08,92,46,42,-9,29,4:16,78,51,471,6794,Happy Holidays
179,Winter Wonderland,Jason Mraz,2012-01-01,145,36,61,-7,65,2:07,78,49,242,8063,Happy Holidays
180,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1980-05-16,95,51,77,-9,77,3:48,32,75,83,2564,Happy Holidays
181,I'll Be Home For Christmas,Pentatonix,2017-12-06,113,49,60,-7,49,3:28,10,58,334,6396,Happy Holidays
182,Do You Hear What I Hear?,Whitney Houston,1995-11-07,73,74,45,-9,48,3:32,26,55,36,5937,Happy Holidays
183,My Favorite Things,Kelly Clarkson,2013-10-29,179,80,30,-5,63,2:49,14,52,587,121,Happy Holidays
184,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,2010-10-05,146,64,32,-10,41,3:34,28,75,243,4080,Happy Holidays
185,Shake Up Christmas,Train,2010-12-01,82,83,46,-2,57,3:52,0,63,244,1793,Happy Holidays
186,Let It Snow,Gwen Stefani,2017-10-06,119,87,51,-4,59,2:14,27,53,597,1060,Happy Holidays
187,It's Beginning to Look a Lot Like Christmas,Noah Cyrus,2017-11-02,94,24,74,-9,51,2:59,83,52,245,8577,Happy Holidays
188,Do They Know It's Christmas? - 1984 Version,Band Aid,1984-11-25,115,64,60,-7,35,3:43,16,73,84,9307,Happy Holidays
189,merry christmas darling,Christina Perri,2012-10-12,76,32,56,-12,20,3:19,77,51,246,4209,Happy Holidays
190,Winter Wonderland,Blake Shelton,2012-10-02,124,70,65,-7,63,2:15,13,49,14,4497,Happy Holidays
191,It's The Most Wonderful Time Of The Year,Thomas Rhett,2022-10-21,200,74,25,-5,64,2:57,20,49,9,6469,Happy Holidays
192,Jingle Bell Rock,Dylan Scott,2017-10-13,122,58,69,-6,67,2:13,71,46,37,8990,Happy Holidays
