#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
71,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022-10-28,177,30,25,-6,17,3:17,90,90,136,8531,Disney
72,The Gospel Truth I / Main Titles - Hercules,Cheryl Freeman,1997-01-01,158,56,50,-11,47,2:26,25,59,390,3637,Disney
73,It's All Right,Jon Batiste,2020-12-18,105,45,55,-10,61,2:50,59,57,62,1782,Disney
74,All I Want,Olivia Rodrigo,2020-01-10,78,43,38,-7,13,2:57,9,73,3,3207,Disney
75,"Bibbidi-Bobbidi-Boo - From ""Cinderella""",Verna Felton,2001-01-01,106,53,51,-9,89,1:18,95,54,137,4701,Disney
76,"Once Upon a Dream - From ""Maleficent"" / Pop Version",Lana Del Rey,2014-01-01,120,33,25,-15,17,3:20,67,55,63,2788,Disney
77,One Jump Ahead,Brad Kane,2004-01-01,124,33,56,-16,69,2:22,43,56,64,9573,Disney
78,Remember Me (Ernesto de la Cruz),Benjamin Bratt,2017-11-10,129,59,45,-7,61,1:49,56,62,138,921,Disney
79,Carried Me With You,Brandi Carlile,2020-02-28,98,67,64,-8,37,3:34,27,60,139,9051,Disney
80,Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,2019-11-15,117,83,46,-6,31,3:09,2,66,140,7611,Disney
81,Love Is an Open Door,DCappella,2022-02-11,100,72,68,-5,77,2:06,16,52,1,1878,Disney
82,Go the Distance,Roger Bart,1997-01-01,89,13,28,-17,21,3:14,88,64,143,6243,Disney
83,One Way or Another (Hocus Pocus 2 Version),Bette Midler,2022-09-30,81,89,57,-5,68,2:27,7,68,65,3094,Disney
84,The Rose Song,Olivia Rodrigo,2021-07-30,142,37,44,-9,46,2:54,79,53,98,3134,Disney
85,Immortals,Fall Out Boy,2014-11-04,108,86,70,-6,72,3:15,0,64,66,2291,Disney
86,"I See the Light - From ""Tangled"" / Soundtrack Version",Mandy Moore,2010-01-01,93,14,28,-14,17,3:44,83,68,250,4278,Disney
87,"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",Randy Newman,1995-01-01,116,33,69,-12,47,2:04,82,69,9,1521,Disney
88,All Is Found - Kacey Musgraves Version,Kacey Musgraves,2019-11-15,153,19,44,-14,11,3:04,95,61,67,2977,Disney
89,Kiss the Girl - Remastered 2014,Samuel E. Wright,2014-12-15,135,24,67,-16,76,2:41,75,56,107,8663,Disney
90,"Mother Knows Best (Reprise) - From ""Tangled""/Soundtrack Version",Donna Murphy,2010-01-01,111,33,55,-11,55,1:38,83,62,391,7166,Disney
91,"Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",Elton John,1994-01-01,125,18,31,-17,15,4:01,87,61,144,2922,Disney
92,Two Oruguitas,Sebastian Yatra,2021-11-19,95,41,56,-9,48,3:35,74,63,258,3625,Disney
93,The World Es Mi Familia,Anthony Gonzalez,2017-11-10,116,48,61,-6,56,0:51,86,57,392,8936,Disney
94,When You Wish Upon a Star,Cliff Edwards,1992-01-01,93,26,24,-14,11,3:15,96,56,145,7502,Disney
95,Honor To Us All,Lea Salonga,1998-01-01,168,24,46,-19,65,3:03,45,59,198,9442,Disney
96,1 True Love,4*TOWN (From Disney and Pixar’s Turning Red),2022-03-11,120,36,62,-11,22,3:20,18,58,332,9968,Disney
97,I See the Light,DCappella,2019-11-08,98,33,50,-8,25,3:08,76,52,83,6643,Disney
98,Start of Something New - Nini Version,Olivia Rodrigo,2020-01-10,78,25,48,-8,32,1:41,81,58,164,826,Disney
99,"Reflection - From ""Mulan"" / Soundtrack Version",Lea Salonga,2001-01-01,92,29,32,-14,8,2:27,80,58,297,8406,Disney
100,"Colors of the Wind - From ""Pocahontas"" / Soundtrack Version",Judy Kuhn,1995-01-01,82,16,27,-17,23,3:34,93,63,38,4049,Disney
101,Lost in the Woods,Jonathan Groff,2019-11-15,149,48,37,-7,29,3:01,70,64,146,3114,Disney
102,Trashin' The Camp,Rosie O'Donnell,1999-05-18,97,72,75,-8,57,2:15,17,56,147,3574,Disney
103,Lead the Way,Jhené Aiko,2021-02-26,101,70,55,-5,33,3:44,48,62,148,2453,Disney
104,How Far I'll Go,DCappella,2018-11-16,80,57,41,-7,39,2:43,44,54,141,417,Disney
105,"Into The Open Air - From ""Brave""/Soundtrack",Julie Fowlis,2021-05-28,139,50,50,-7,31,2:41,71,55,259,1204,Disney
106,Beauty and the Beast,Angela Lansbury,2001-01-01,91,12,34,-17,19,2:45,77,59,125,6620,Disney
107,"Almost There - From ""The Princess and the Frog"" / Soundtrack Version",Anika Noni Rose,2009-01-01,79,45,54,-8,56,2:25,81,64,260,5319,Disney
108,Something There - Remastered 2018,Angela Lansbury,2018-02-09,126,26,58,-14,43,2:18,84,52,251,2987,Disney
109,Evermore,Dan Stevens,2017-03-10,79,40,28,-9,22,3:15,67,63,149,632,Disney
110,Come on Out,Chandler Kinney,2022-07-15,82,69,65,-7,57,2:46,0,66,23,1846,Disney
111,Stand Out,Tevin Campbell,1995-01-01,142,72,82,-10,94,3:00,3,59,393,6378,Disney
112,Real Gone,Sheryl Crow,2006-01-01,118,79,61,-5,81,3:21,0,67,150,9980,Disney
113,"Just Around the Riverbend - From ""Pocahontas"" / Soundtrack Version",Judy Kuhn,1995-01-01,95,19,31,-17,25,2:28,92,59,261,4338,Disney
114,The Mad Tea Party / The Unbirthday Song / Twinkle Twinkle / Clean Cup Move Down / Mad Watch,Kathryn Beaumont,1997-01-01,100,17,57,-14,30,4:31,96,51,39,688,Disney
115,I Can't Let You Throw Yourself Away,Randy Newman,2019-06-21,106,74,64,-8,90,2:06,44,56,108,8972,Disney
116,"When She Loved Me - From ""Toy Story 2""",Sarah McLachlan,2009-01-01,74,17,27,-13,25,3:05,98,51,68,1185,Disney
117,Life is a Highway,Rascal Flatts,2006-01-01,103,93,56,-6,56,4:36,0,72,69,6115,Disney
118,"Chim Chim Cher-ee - From ""Mary Poppins""/Soundtrack Version",Dick Van Dyke,2013-01-01,106,27,55,-15,46,2:46,82,51,24,1670,Disney
119,The Aristocats,Maurice Chevalier,1996-01-01,120,44,69,-10,95,2:20,83,52,152,1481,Disney
120,"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",Owl City,2012-01-01,128,83,64,-7,39,3:38,3,66,153,9210,Disney
121,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,2018-11-09,90,66,63,-8,24,3:31,0,70,154,6838,Disney
122,"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",Julie Andrews,1997-01-01,111,39,48,-14,64,4:09,74,54,169,3778,Disney
123,"Love Power (End Credit Version) - From ""Disenchanted""/Soundtrack Version",Idina Menzel,2022-11-17,96,68,52,-8,7,2:58,1,38,478,3971,Disney
124,You've Got a Friend in Me,Randy Newman,2019-06-21,116,30,70,-13,47,2:04,82,55,199,6403,Disney
125,"Reflection (2020) - From ""Mulan""",Christina Aguilera,2020-08-28,95,64,35,-8,21,3:38,44,57,126,3103,Disney
126,"Loyal Brave True - From ""Mulan""",Christina Aguilera,2020-03-06,143,39,59,-9,51,2:46,60,56,252,3397,Disney
127,Start of Something New - Nini Version,Olivia Rodrigo,2019-11-08,75,25,45,-7,32,1:41,80,53,247,2220,Disney
128,Prince Ali,Will Smith,2019-05-22,97,77,41,-6,37,3:30,6,64,394,3796,Disney
129,"Nobody Like U - From ""Turning Red""",4*TOWN (From Disney and Pixar’s Turning Red),2022-02-25,105,72,91,-7,73,2:41,13,58,465,4276,Disney
130,How Does A Moment Last Forever (Music Box),Kevin Kline,2017-03-10,95,19,42,-16,31,1:04,81,51,155,2751,Disney
131,All Is Found,Evan Rachel Wood,2019-11-15,83,20,23,-12,20,2:05,93,66,156,6803,Disney
132,Here Comes Elastigirl - Elastigirl's Theme,Michael Giacchino,2018-06-15,144,72,53,-4,85,1:23,4,46,15,6423,Disney
133,"Under the Sea - From ""The Little Mermaid"" / Soundtrack Version",Samuel E. Wright,1997-01-01,100,46,68,-15,86,3:15,72,59,200,8548,Disney
134,The Ballad of the Lonesome Cowboy,Chris Stapleton,2019-06-21,110,54,67,-9,15,1:45,29,46,157,9121,Disney
